run,nf1,k1,p1,nf2,k2,p2,f1_score,val_loss,val_accuracy,bn1,dropout1,bn2,dropout2,bn3
161,32,"(8, 8)","(2, 2)",16,"(2, 2)","(5, 5)",0.99634,0.03493,0.98784,0,0.311,1,0.046,1
162,32,"(8, 8)","(2, 2)",16,"(5, 5)","(5, 5)",0.99634,0.02046,0.9924,0,0.204,1,0.334,1
163,32,"(8, 8)","(2, 2)",16,"(8, 8)","(5, 5)",0.99634,1.35446,0.68931,0,0.253,1,0.092,0
164,48,"(2, 2)","(2, 2)",24,"(2, 2)","(5, 5)",0.95585,0.24458,0.90674,1,0.494,1,0.468,0
165,48,"(2, 2)","(2, 2)",24,"(5, 5)","(5, 5)",0.97985,0.16296,0.9407,0,0.254,1,0.091,0
166,48,"(2, 2)","(2, 2)",24,"(8, 8)","(5, 5)",0.94713,0.31993,0.85302,1,0.293,0,0.013,1
167,48,"(5, 5)","(2, 2)",24,"(2, 2)","(5, 5)",0.99359,0.09191,0.9701,1,0.038,0,0.472,1
168,48,"(5, 5)","(2, 2)",24,"(5, 5)","(5, 5)",0.97617,0.148,0.95134,1,0.092,0,0.255,0
169,48,"(5, 5)","(2, 2)",24,"(8, 8)","(5, 5)",0.99176,0.07926,0.96807,0,0.174,1,0.336,0
170,48,"(8, 8)","(2, 2)",24,"(2, 2)","(5, 5)",0.99267,0.07241,0.98074,0,0.069,0,0.43,1
171,48,"(8, 8)","(2, 2)",24,"(5, 5)","(5, 5)",0.99084,0.03589,0.9924,0,0.054,0,0.135,0
172,48,"(8, 8)","(2, 2)",24,"(8, 8)","(5, 5)",0.99267,0.07947,0.97111,1,0.263,1,0.419,0
173,64,"(2, 2)","(2, 2)",32,"(2, 2)","(5, 5)",0.95682,0.18545,0.92803,1,0.362,1,0.128,0
174,64,"(2, 2)","(2, 2)",32,"(5, 5)","(5, 5)",0.98809,0.07233,0.97212,1,0.175,1,0.465,1
175,64,"(2, 2)","(2, 2)",32,"(8, 8)","(5, 5)",0.98443,0.0819,0.96756,1,0.415,1,0.176,1
176,64,"(5, 5)","(2, 2)",32,"(2, 2)","(5, 5)",0.99359,0.10441,0.96756,1,0.342,0,0.009,1
177,64,"(5, 5)","(2, 2)",32,"(5, 5)","(5, 5)",0.96422,0.37281,0.8221,1,0.116,0,0.441,1
